"Date","Price","Open","High","Low","Vol.","Change %"
"17-10-2024","22.44","22.72","22.82","22.40","43.81M","0.58%"
"16-10-2024","22.31","22.38","22.54","21.74","62.15M","-1.54%"
"15-10-2024","22.66","23.41","23.72","22.47","68.90M","-3.33%"
"14-10-2024","23.44","23.58","23.77","23.27","35.40M","-0.51%"
"11-10-2024","23.56","23.05","23.82","22.98","43.59M","1.46%"
"10-10-2024","23.22","23.19","23.53","22.96","44.88M","-1.02%"
"09-10-2024","23.46","23.25","23.48","23.06","44.76M","0.60%"
"08-10-2024","23.32","22.25","23.42","22.05","58.65M","4.20%"
"07-10-2024","22.38","22.40","22.65","22.02","54.93M","-0.93%"
"04-10-2024","22.59","22.70","22.91","22.30","49.97M","1.48%"
"03-10-2024","22.26","22.14","22.73","21.65","49.57M","-0.58%"
"02-10-2024","22.39","22.67","23.07","22.35","59.03M","-1.32%"
"01-10-2024","22.69","23.46","23.72","22.25","86.34M","-3.28%"
"30-09-2024","23.46","23.74","23.95","23.09","66.46M","-1.88%"
"27-09-2024","23.91","24.16","24.66","23.70","85.88M","-0.04%"
"26-09-2024","23.92","24.28","24.42","23.25","95.42M","1.61%"
"25-09-2024","23.54","22.80","24.06","22.73","117.01M","3.20%"
"24-09-2024","22.81","22.53","23.10","22.28","113.08M","1.11%"
"23-09-2024","22.56","22.43","22.82","22.03","184.44M","3.30%"
"20-09-2024","21.84","20.89","23.14","20.35","260.38M","3.31%"
"19-09-2024","21.14","21.28","21.69","21.03","99.83M","1.78%"
"18-09-2024","20.77","21.36","21.74","20.72","118.73M","-3.26%"
"17-09-2024","21.47","21.71","22.58","21.24","196.25M","2.68%"
"16-09-2024","20.91","20.03","21.07","19.76","149.34M","6.36%"
"13-09-2024","19.66","19.49","19.80","19.49","44.24M","1.55%"
"12-09-2024","19.36","19.43","19.54","19.04","51.60M","-1.43%"
"11-09-2024","19.64","19.01","19.69","18.52","71.40M","3.48%"
"10-09-2024","18.98","19.03","19.11","18.51","55.62M","-0.47%"
"09-09-2024","19.07","19.00","19.54","18.95","64.24M","0.95%"
"06-09-2024","18.89","19.44","19.49","18.64","92.69M","-2.63%"
"05-09-2024","19.40","19.28","19.90","19.24","65.39M","-0.15%"
"04-09-2024","19.43","19.76","20.05","19.28","85.87M","-3.33%"
"03-09-2024","20.10","21.54","21.69","19.99","115.31M","-8.80%"
"30-08-2024","22.04","21.25","22.12","21.00","177.78M","9.49%"
"29-08-2024","20.13","19.76","20.60","19.75","64.53M","2.65%"
"28-08-2024","19.61","19.98","20.10","19.51","50.15M","-2.29%"
"27-08-2024","20.07","20.13","20.26","19.84","43.86M","-0.30%"
"26-08-2024","20.13","20.53","20.56","19.95","58.54M","-2.00%"
"23-08-2024","20.54","20.32","20.93","20.26","73.40M","2.19%"
"22-08-2024","20.10","21.39","21.40","20.04","81.45M","-6.12%"
"21-08-2024","21.41","21.07","21.44","21.07","57.03M","2.00%"
"20-08-2024","20.99","21.21","21.23","20.82","84.16M","-2.46%"
"19-08-2024","21.52","20.89","21.86","20.83","65.96M","3.11%"
"16-08-2024","20.87","20.53","20.90","20.41","48.58M","0.87%"
"15-08-2024","20.69","20.32","21.06","20.23","84.82M","3.87%"
"14-08-2024","19.92","20.49","20.50","19.78","56.76M","-2.69%"
"13-08-2024","20.47","19.48","20.48","19.47","77.51M","5.73%"
"12-08-2024","19.36","19.87","19.97","19.00","54.68M","-1.78%"
"09-08-2024","19.71","20.08","20.15","19.50","76.40M","-3.81%"
"08-08-2024","20.49","19.10","20.55","18.84","96.84M","7.90%"
"07-08-2024","18.99","19.92","20.25","18.95","97.97M","-4.24%"
"06-08-2024","19.83","20.32","20.63","19.75","106.67M","-1.39%"
"05-08-2024","20.11","20.20","20.39","19.29","147.39M","-6.38%"
"02-08-2024","21.48","21.94","21.98","20.42","300.90M","-26.06%"
"01-08-2024","29.05","30.43","30.71","28.89","107.67M","-5.50%"
"31-07-2024","30.74","30.54","30.87","30.28","56.11M","2.02%"
"30-07-2024","30.13","30.84","30.91","30.00","48.26M","-2.27%"
"29-07-2024","30.83","31.42","31.47","30.79","32.34M","-1.66%"
"26-07-2024","31.35","31.43","31.56","31.02","38.35M","0.80%"
"25-07-2024","31.10","31.37","31.99","30.95","49.77M","-1.89%"
"24-07-2024","31.70","32.53","32.80","31.66","62.22M","-3.79%"
"23-07-2024","32.95","32.96","33.23","32.83","29.47M","-1.26%"
"22-07-2024","33.37","33.28","33.41","32.76","48.50M","1.18%"
"19-07-2024","32.98","34.56","34.58","32.85","69.63M","-5.42%"
"18-07-2024","34.87","34.96","36.30","34.53","84.19M","1.19%"
"17-07-2024","34.46","36.08","37.16","34.40","112.30M","0.35%"
"16-07-2024","34.34","34.36","34.45","33.83","28.41M","-0.35%"
"15-07-2024","34.46","34.70","35.22","34.31","39.85M","-0.09%"
"12-07-2024","34.49","33.77","35.47","33.77","62.79M","2.96%"
"11-07-2024","33.50","35.03","35.15","33.31","55.21M","-3.93%"
"10-07-2024","34.87","34.44","34.97","34.13","52.26M","0.81%"
"09-07-2024","34.59","35.01","35.22","33.72","97.79M","1.77%"
"08-07-2024","33.99","33.03","34.09","32.82","82.32M","6.15%"
"05-07-2024","32.02","31.40","32.34","31.31","45.31M","2.53%"
"03-07-2024","31.23","31.12","31.34","30.91","24.07M","0.51%"
"02-07-2024","31.07","30.85","31.31","30.58","36.00M","0.75%"
"01-07-2024","30.84","30.91","31.02","30.61","32.40M","-0.42%"
"28-06-2024","30.97","30.75","31.31","30.72","41.47M","1.24%"
"27-06-2024","30.59","30.42","30.66","30.28","30.18M","0.16%"
"26-06-2024","30.54","30.64","30.68","30.27","30.74M","-0.65%"
"25-06-2024","30.74","30.70","30.83","30.29","29.50M","0.56%"
"24-06-2024","30.57","31.14","31.42","30.53","40.61M","-1.67%"
"21-06-2024","31.09","30.85","31.36","30.67","92.55M","1.53%"
"20-06-2024","30.62","30.56","31.11","30.45","43.83M","-0.03%"
"18-06-2024","30.63","30.99","31.47","30.50","33.30M","-1.13%"
"17-06-2024","30.98","30.34","31.00","30.18","36.24M","1.74%"
"14-06-2024","30.45","30.28","30.56","30.21","28.13M","-0.03%"
"13-06-2024","30.46","30.38","30.58","30.14","33.79M","-0.98%"
"12-06-2024","30.76","31.45","31.48","30.39","51.32M","-0.52%"
"11-06-2024","30.92","30.77","31.03","30.53","25.33M","0.03%"
"10-06-2024","30.91","30.55","30.95","30.28","37.45M","0.55%"
"07-06-2024","30.74","30.25","30.78","30.20","34.09M","1.05%"
"06-06-2024","30.42","30.55","30.59","30.16","34.25M","-1.17%"
"05-06-2024","30.78","30.27","30.83","30.01","44.16M","2.50%"
"04-06-2024","30.03","30.75","30.75","29.94","51.03M","-0.86%"
"03-06-2024","30.29","31.03","31.07","30.05","35.55M","-1.82%"
"31-05-2024","30.85","30.22","30.96","29.94","95.80M","2.19%"
"30-05-2024","30.19","30.21","30.50","30.06","33.38M","0.20%"
"29-05-2024","30.13","30.47","30.67","30.10","35.85M","-2.99%"
"28-05-2024","31.06","30.94","31.37","30.66","36.80M","1.11%"
"24-05-2024","30.72","30.29","31.02","30.13","42.43M","2.13%"
"23-05-2024","30.08","31.44","31.57","29.87","62.02M","-4.26%"
"22-05-2024","31.42","31.91","32.07","31.09","36.71M","-1.01%"
"21-05-2024","31.74","31.98","32.24","31.62","42.98M","-1.12%"
"20-05-2024","32.10","31.85","32.42","31.76","31.99M","0.85%"
"17-05-2024","31.83","32.06","32.11","31.59","41.45M","-0.62%"
"16-05-2024","32.03","31.63","32.26","31.52","47.75M","2.43%"
"15-05-2024","31.27","31.38","31.40","30.81","36.99M","0.71%"
"14-05-2024","31.05","30.62","31.11","30.61","47.76M","1.77%"
"13-05-2024","30.51","30.03","31.13","30.00","51.46M","2.21%"
"10-05-2024","29.85","30.33","30.45","29.84","42.93M","-0.80%"
"09-05-2024","30.09","29.93","30.39","29.81","45.00M","0.30%"
"08-05-2024","30.00","30.00","30.15","29.73","63.74M","-2.22%"
"07-05-2024","30.68","31.09","31.45","30.61","44.68M","-0.94%"
"06-05-2024","30.97","31.11","31.20","30.73","36.19M","0.23%"
"03-05-2024","30.90","30.98","31.06","30.70","36.80M","1.28%"
"02-05-2024","30.51","30.59","30.67","30.19","50.90M","0.46%"
"01-05-2024","30.37","30.17","31.03","30.02","60.66M","-0.33%"
"30-04-2024","30.47","31.04","31.17","30.42","72.35M","-2.84%"
"29-04-2024","31.36","31.86","31.91","31.07","58.53M","-1.63%"
"26-04-2024","31.88","31.78","32.24","30.64","119.74M","-9.20%"
"25-04-2024","35.11","34.56","35.29","34.50","66.55M","1.77%"
"24-04-2024","34.50","34.86","35.18","34.34","53.26M","0.64%"
"23-04-2024","34.28","34.33","34.60","34.18","46.83M","-0.38%"
"22-04-2024","34.41","34.42","34.57","34.08","39.91M","0.61%"
"19-04-2024","34.20","35.13","35.13","34.18","59.07M","-2.40%"
"18-04-2024","35.04","35.42","35.66","34.77","42.33M","-1.79%"
"17-04-2024","35.68","36.10","36.13","35.37","41.17M","-1.60%"
"16-04-2024","36.26","36.27","36.51","35.76","30.61M","-0.14%"
"15-04-2024","36.31","36.04","36.70","35.89","50.75M","1.74%"
"12-04-2024","35.69","36.69","36.70","35.60","80.26M","-5.16%"
"11-04-2024","37.63","37.43","37.67","37.08","41.91M","1.16%"
"10-04-2024","37.20","38.02","38.22","37.02","51.11M","-2.95%"
"09-04-2024","38.33","38.05","38.58","37.33","78.78M","0.92%"
"08-04-2024","37.98","38.64","38.86","37.91","56.97M","-1.89%"
"05-04-2024","38.71","39.35","39.46","38.51","67.26M","-2.57%"
"04-04-2024","39.73","40.59","40.78","39.70","57.31M","-1.49%"
"03-04-2024","40.33","41.40","41.65","40.22","83.72M","-8.22%"
"02-04-2024","43.94","43.92","44.08","43.50","32.75M","-1.30%"
"01-04-2024","44.52","44.29","45.41","44.18","31.71M","0.79%"
